"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"COPYRIGHT";"CUI_PURCHASE_URL";"DESCRIPTION";"MANUFACTURER_PART_NUMBER";"MF";"MFR_NAME";"MP";"PACKAGE";"POPULARITY";"PRICE";"PURCHASE-URL";"SPICEPREFIX";
"1";"";"LED3MM";"LED3MM";"LED1";"LED";"";"";"";"";"";"";"";"";"";"0";"";"";"";
"1";"0.1uF";"C-EUC0603";"C0603";"C3";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"30";"";"";"C";
"2";"100k";"R-US_R0603";"R0603";"R5, R6";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"R";
"2";"10k";"R-US_R0603";"R0603";"R3, R4";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"R";
"4";"10uF";"C-EUC0805";"C0805";"C1, C2, C4, C5";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"C";
"1";"1k";"R-US_R0603";"R0603";"R7";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"R";
"2";"220";"R-US_R0603";"R0603";"R1, R2";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"R";
"1";"470";"R-US_R0603";"R0603";"R15";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"0";"";"";"R";
"1";"BAT760-7";"BAT760-7";"SOD2513X120N";"D1";"Diode Schottky 30V 1A Surface Mount SOD-323  Check availability";"In Stock";"";"";" Diode Schottky 30 V 1A Surface Mount SOD-323 ";"";"Diodes Inc.";"";"BAT760-7";"SOD-323 Diodes Inc.";"";"None";"https://pricing.snapeda.com/search/part/BAT760-7/?ref=eda";"";
"1";"BP5293-50BP5293_SIDE";"BP5293-50BP5293_SIDE";"BP5293_SIDE";"U2";"BP5293";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"ESP32-DEVKITC-32D";"ESP32-DEVKITC-32D";"MODULE_ESP32-DEVKITC-32D";"U1";"Eval Board For Esp-Wroom-32 Check prices";"In Stock";"";"";" WiFi Development Tools (802.11) ESP32 General Development Kit, ESP32-WROOM-32D on the board ";"";"Espressif Systems";"";"ESP32-DEVKITC-32D";"None";"";"None";"";"";
"2";"ETB43024G000Z";"ETB43024G000Z";"ETB43024G000Z";"CN8, CN9";"ETB43024G000Z";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"ETB43034G000Z";"ETB43034G000Z";"ETB43034G000Z";"CN1, CN2, CN3, CN4";"ETB43034G000Z";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"ETB43044G000Z";"ETB43044G000Z";"ETB43044G000Z";"CN7";"ETB43044G000Z";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"MAU102";"MAU102";"MAU100_SINGLE";"U6";"https://akizukidenshi.com/catalog/g/gM-04131/";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"MC74ACT245DWR2G";"MC74ACT245DWR2G";"SOIC-20WB_ONS";"U3";"";"";"Copyright (C) 2022 Ultra Librarian. All rights reserved.";"";"";"MC74ACT245DWR2G";"";"onsemi";"";"";"";"";"";"";
"12";"MLVC06V012C210";"MLVC06V012C210";"0603";"Z1, Z2, Z3, Z4, Z5, Z6, Z7, Z8, Z9, Z10, Z11, Z13";"https://www.mouser.jp/ProductDetail/Bussmann-Eaton/MLVC06V012C210?qs=pUKx8fyJudBlDBwUQ7TVbQ%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"MLVC06V026C120";"MLVC06V026C120";"0603";"Z12";"https://www.mouser.jp/ProductDetail/Bussmann-Eaton/MLVC06V026C120?qs=pUKx8fyJudD3x2tRqD2agg%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"MOUNT-PAD-ROUND3.2";"MOUNT-PAD-ROUND3.2";"3,2-PAD";"H1, H2, H3, H4";"MOUNTING PAD, round";"";"";"";"";"";"";"";"";"";"0";"";"";"";
"1";"PJ-202A";"PJ-202A";"CUI_PJ-202A";"J1";"2.0 mm Center Pin, 2.5 A, Right Angle, Through Hole, Kinked Pins, Dc Power Jack Connector Check prices";"In Stock";"";"https://www.cuidevices.com/product/interconnect/connectors/dc-power-connectors/jacks/pj-202a?utm_source=snapeda.com&utm_medium=referral&utm_campaign=snapedaBOM";" 2.0 x 6.5 mm, 2.5 A, Horizontal, Through Hole, Kinked Pins, Dc Power Jack Connector ";"";"CUI Devices";"";"PJ-202A";"None";"";"None";"https://pricing.snapeda.com/search/part/PJ-202A/?ref=eda";"";
"1";"RXE110";"RXE110";"RXE110";"F1";"https://akizukidenshi.com/catalog/g/gP-00273/";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"TLP291(GB-TP,SE";"TLP291(GB-TP,SE";"SOIC127P700X220-4N";"U4, U5";"Optoisolator Transistor Output 3750Vrms 1 Channel 4-SO  Check availability";"In Stock";"";"";" Optoisolator Transistor Output 3750Vrms 1 Channel 4-SO ";"";"Toshiba Semiconductor";"";"TLP291(GB-TP,SE";"SO-4 Toshiba Semiconductor";"";"None";"https://pricing.snapeda.com/search/part/TLP291(GB-TP,SE/?ref=eda";"";
